"Name","Count"
"(raiz)","5679"
"Portas e janelas\portas","1592"
"ANOTACÕES","1460"
"Portas e janelas","879"
"MESAS E CADEIRAS","867"
"Armario - Prateleira e Organizadores","592"
"Janelas","567"
"Esquadrias\Janelas","499"
"Arquitetura\04 - Mobiliário\Gabinetes","469"
"Portas e janelas\Portas2","447"
"Arquitetura\00 - Esquadrias\Portas","443"
"Variados","425"
"Sala\Mesas","407"
"Banheiro","402"
"Esquadrias\Portas","385"
"Iluminação\LUMINÁRIAS","382"
"Mesas\Interiores - Mesa","378"
"Conexões hidráulicas","376"
"Mesas","369"
"WC-COZinha","366"
"Mesas\Mesas","364"
"Arquitetura\00 - Esquadrias\Janelas","364"
"Hidráulico","348"
"Hidráulico\Conexões hidráulicas","341"
"Mobiliário\Mobiliários\MOBILIARIO","330"
"Mobiliário","324"
"FABRICANTES\Philips\Philips_Exterior_Luminaires","287"
"Bombeiros","281"
"Cozinha","278"
"revit 2024","271"
"Escritorios","266"
"Mobiliário\Bancadas\NICHOS HERMAN MILLER","262"
"Mobiliário\Mobiliários","262"
"PERFIL\Perfis","249"
"Armario - Prateleira e Organizadores\Lisos","248"
"Meios de transportes\Carros","246"
"TRANSPORTE","245"
"Vegetação\Árvore","244"
"Luminárias\LUMINÁRIAS\Luminárias de Teto","237"
"Vasos Sanitário","234"
"Pias","232"
"DECORACÃO","230"
"Sofas e Poltronas","221"
"MARCENARIA","212"
"Corrimão - Balaustre e Grades","206"
"Luminárias","198"
"Elétrica\Iluminação","198"
"Identificadores","192"
"Familias eletrica 2018","185"
"PESSOAS","175"
"Banheiro\Bacia","171"
"Sala\Armários lisos","170"
"Hidráulico\Bacia","169"
"Paisagismo\Vegetação","165"
"VEGETACÃO\arvores\Vegetação","165"
"Informática","164"
"Iluminação elétrica","162"
"RECREATIVOS","161"
"Sala\SOFÁ","161"
"Luminárias\LUMINÁRIAS\Luminárias - Mesa ou Chão","156"
"Veículos\Veículos - Carros","151"
"Carimbo e Folhas ABNT","151"
"Familias do Projetão","150"
"Interiores - Cozinha","146"
"Metric Library\Annotations\Electrical","146"
"Interiores - Quarto","143"
"Luminarias","141"
"Paisagismo\PAISAGISMO","140"
"Interiores - Acessórios","136"
"Escada e Elevador\EST - Colunas","131"
"Interiores - Sofás","128"
"Sofas e Poltronas\Estofados","126"
"PUERTAS\PACK PUERTAS","125"
"Arquitetura\04 - Mobiliário\Mesas\Diversos","124"
"Instalações\Equipamento elétrico\Luminárias de Teto","124"
"Ventanas","123"
"Metric Library\Annotations\Airconditioning","118"
"Sala\DECOR","116"
"Arquitetura\04 - Mobiliário\Armários, Estantes e Cômodas","116"
"Mobiliário\Mobiliarios FNDE","114"
"Sinalização\Sinais de Pista_2c Trânsito e Estacionamento","112"
"Iluminação\LUMINÁRIAS\PHILIPS","112"
"Armario - Prateleira e Organizadores\Com almofadas","110"
"Variados\BIBLIOTECA BLOCKS REVIT\PUERTAS Y VENTANAS\VENTANAS","110"
"Metric Library\Annotations\Tags","110"
"Elétrico\Iluminação","109"
"MESAS E CADEIRAS\1. MESAS","109"
"Balaústres","109"
"Bar","107"
"Portas e janelas\Cercas e Portões","107"
"PROJETO\PROJETO ANCILA FAMILIAS","106"
"Mesas\Jantar","106"
"Colunas","104"
"Portas e janelas\PUERTAS Y VENTANAS\VENTANAS","103"
"Luminárias\LUMINÁRIAS\Luminárias de Parede","103"
"Metric Library\Annotations","101"
"Vasos Sanitário\Vasos Deca","100"
