"Status","Source","Keep","Message","Hash","Length"
"Deleted","C:\ProgramData\Autodesk\RVT 2026\Libraries\Portuguese\Climatizadores E Ar condicionados\Fan01i (2).rfa","C:\ProgramData\Autodesk\RVT 2026\Libraries\Portuguese\INTERIORES\Decoração\OBJETOS DE DECORAÇÃO\Ventilador\Ventilador de teto (3).rfa","","e000101a3dfe10074f83a9e05387c3eb6173a4fd41223b6e6f9b6ba171115410","49664"
"Deleted","C:\ProgramData\Autodesk\RVT 2026\Libraries\Portuguese\Climatizadores E Ar condicionados\Ventilador de teto (3).rfa","C:\ProgramData\Autodesk\RVT 2026\Libraries\Portuguese\INTERIORES\Decoração\OBJETOS DE DECORAÇÃO\Ventilador\Ventilador de teto (3).rfa","","e000101a3dfe10074f83a9e05387c3eb6173a4fd41223b6e6f9b6ba171115410","49664"
"Deleted","C:\ProgramData\Autodesk\RVT 2026\Libraries\Portuguese\VENTILADOR_AR\Ventilador\Ventilador de teto (3).rfa","C:\ProgramData\Autodesk\RVT 2026\Libraries\Portuguese\INTERIORES\Decoração\OBJETOS DE DECORAÇÃO\Ventilador\Ventilador de teto (3).rfa","","e000101a3dfe10074f83a9e05387c3eb6173a4fd41223b6e6f9b6ba171115410","49664"
"Deleted","C:\ProgramData\Autodesk\RVT 2026\Libraries\Portuguese\VENTILADOR_AR\Ventilador_Arcondicionado\Fan01i (2).rfa","C:\ProgramData\Autodesk\RVT 2026\Libraries\Portuguese\INTERIORES\Decoração\OBJETOS DE DECORAÇÃO\Ventilador\Ventilador de teto (3).rfa","","e000101a3dfe10074f83a9e05387c3eb6173a4fd41223b6e6f9b6ba171115410","49664"
"Deleted","C:\ProgramData\Autodesk\RVT 2026\Libraries\Portuguese\pool_with_hottub_2371 (1).rfa","C:\ProgramData\Autodesk\RVT 2026\Libraries\Portuguese\Piscina\Piscina.rfa.rfa","","8e0f77dc2d9e7efd9d2ff2c9a2db8cc5d2889cd5f1a92cbc4707bbc38f6d7724","425984"
"Deleted","C:\ProgramData\Autodesk\RVT 2026\Libraries\Portuguese\Piscina\Piscina\Piscina (1).rfa","C:\ProgramData\Autodesk\RVT 2026\Libraries\Portuguese\Piscina\Piscina.rfa.rfa","","8e0f77dc2d9e7efd9d2ff2c9a2db8cc5d2889cd5f1a92cbc4707bbc38f6d7724","425984"
"Deleted","C:\ProgramData\Autodesk\RVT 2026\Libraries\Portuguese\Piscina\Piscinas 3\Piscina (1).rfa","C:\ProgramData\Autodesk\RVT 2026\Libraries\Portuguese\Piscina\Piscina.rfa.rfa","","8e0f77dc2d9e7efd9d2ff2c9a2db8cc5d2889cd5f1a92cbc4707bbc38f6d7724","425984"
"Deleted","C:\ProgramData\Autodesk\RVT 2026\Libraries\Portuguese\Piscina\Piscinas 3\Piscina (2).rfa","C:\ProgramData\Autodesk\RVT 2026\Libraries\Portuguese\Piscina\Piscina.rfa.rfa","","8e0f77dc2d9e7efd9d2ff2c9a2db8cc5d2889cd5f1a92cbc4707bbc38f6d7724","425984"
"Deleted","C:\ProgramData\Autodesk\RVT 2026\Libraries\Portuguese\Elevadores e ascensores\Elevadores\Elevador 01.rfa.rfa","C:\ProgramData\Autodesk\RVT 2026\Libraries\Portuguese\Elevadores e ascensores\Elevadores\Elevador 01.rfa (1).rfa","","fb60a385a870c99f1942b283fd10faea0bd2b590b194730719f1e7fc7e066677","442368"
"Deleted","C:\ProgramData\Autodesk\RVT 2026\Libraries\Portuguese\Elevadores e ascensores\Elevadores\ELEVADORES\Elevador 01 (1).rfa","C:\ProgramData\Autodesk\RVT 2026\Libraries\Portuguese\Elevadores e ascensores\Elevadores\Elevador 01.rfa (1).rfa","","fb60a385a870c99f1942b283fd10faea0bd2b590b194730719f1e7fc7e066677","442368"
"Deleted","C:\ProgramData\Autodesk\RVT 2026\Libraries\Portuguese\Escada e Elevador\Elevadores\Elevador 01.rfa (1).rfa","C:\ProgramData\Autodesk\RVT 2026\Libraries\Portuguese\Elevadores e ascensores\Elevadores\Elevador 01.rfa (1).rfa","","fb60a385a870c99f1942b283fd10faea0bd2b590b194730719f1e7fc7e066677","442368"
"Deleted","C:\ProgramData\Autodesk\RVT 2026\Libraries\Portuguese\Brise Soleil Arm.rfa.rfa","C:\ProgramData\Autodesk\RVT 2026\Libraries\Portuguese\Balaústres\Balaústre 24.rfa (1).rfa","","df9091f3cb3c794c4943f49d3c21185b310ea294900037c6042842ddb372eb67","212992"
"Deleted","C:\ProgramData\Autodesk\RVT 2026\Libraries\Portuguese\Balaústres\Balaústre 24.rfa.rfa","C:\ProgramData\Autodesk\RVT 2026\Libraries\Portuguese\Balaústres\Balaústre 24.rfa (1).rfa","","df9091f3cb3c794c4943f49d3c21185b310ea294900037c6042842ddb372eb67","212992"
"Deleted","C:\ProgramData\Autodesk\RVT 2026\Libraries\Portuguese\Corrimão - Balaustre e Grades\Balaústre 24.rfa.rfa","C:\ProgramData\Autodesk\RVT 2026\Libraries\Portuguese\Balaústres\Balaústre 24.rfa (1).rfa","","df9091f3cb3c794c4943f49d3c21185b310ea294900037c6042842ddb372eb67","212992"
"Deleted","C:\ProgramData\Autodesk\RVT 2026\Libraries\Portuguese\Hidráulico\Bim_Compacto_Familias\Bim_Compacto_Familias\Metais\Targa\Deca_Acabamento para Registro de Gaveta Targa_4900.C40.PQ.CR (1).rfa","C:\ProgramData\Autodesk\RVT 2026\Libraries\Portuguese\Hidráulico\Biblioteca Deca BIM Revit\Metais\Targa\Deca_Acabamento para Registro de Gaveta Targa_4900.C40.PQ.CR (3).rfa","","bd15b3a844bdfc64ba120643226906d8eb6f8d2d4b44e17ec32d547fc96c0b70","483328"
