action,family_id,family_name,types
REMOVIDO,2581980,PRANCHA COM CARIMBO,PRANCHA COM CARIMBO
REMOVIDO,2827292,CAPA - A4 VERTICAL,A4 VERTICAL - CAPA
REMOVIDO,3304952,A1 métrico_ABNT- Sydor,A1 métrico_ABNT- Sydor
REMOVIDO,2826604,PRANCHA COM CARIMBO - MODELO 02,PRANCHA COM CARIMBO - MODELO 02
REMOVIDO,2595489,pranchaTabelaDeRevisoes,pranchaTabelaDeRevisoes
REMOVIDO,3293473,a1,a1
REMOVIDO,2834205,Folha Levantamento Inicial,A4 VERTICAL - CAPA
REMOVIDO,3304575,A0 métrico_ABNT,A0 métrico_ABNT
REMOVIDO,2348479,PRANCHA SEM CARIMBO,PRANCHA SEM CARIMBO
REMOVIDO,2832113,FOLHAS ABNT - SÉRIE A,A0 | A1 | A2 | A3 | A4 - Retrato | A4 - Paisagem
