id,family_name,category,symbols,used_symbols_detected,unused_symbols_detected,review_candidate
4100231,M_Fire Damper - Rectangular - Simple,Acessórios de duto,0,0,0,NAO
4101424,Adaptador Jet 30 - MEP - Tigre,Acessórios do tubo,4,0,4,SIM
3306234,Adaptador com Anel - Agua Fria_Roscavel - MEP - Tigre,Acessórios do tubo,1,0,1,SIM
4104383,Adaptador com Anel - Agua Fria_Roscavel - MEP - Tigre1,Acessórios do tubo,1,0,1,SIM
3307439,Adaptador com Anel - Agua Fria_Soldavel - MEP - Tigre,Acessórios do tubo,1,0,1,SIM
4097722,Adaptador com Anel - Agua Fria_Soldavel - MEP - Tigre.,Acessórios do tubo,0,0,0,NAO
4104387,Adaptador com Anel - Agua Fria_Soldavel - MEP - Tigre1,Acessórios do tubo,1,0,1,SIM
3308518,Adaptador com Registro - Agua Fria_Soldavel - MEP - Tigre,Acessórios do tubo,1,0,1,SIM
4097799,Adaptador com Registro - Agua Fria_Soldavel - MEP - Tigre.,Acessórios do tubo,0,0,0,NAO
4104385,Adaptador com Registro - Agua Fria_Soldavel - MEP - Tigre1,Acessórios do tubo,1,0,1,SIM
4102982,GERADOR DE CLORO GS 42 - SODRAMAR,Acessórios do tubo,0,0,0,NAO
3630735,Grelha Hemisfer Flexivel - Aquapluv - MEP - Tigre,Acessórios do tubo,0,0,0,NAO
4099181,Hidrometro-simples com conectores,Acessórios do tubo,0,0,0,NAO
4102123,Mixing_Valve-Thermostatic-Leonard_Valve-Emergency-Eye_Wash,Acessórios do tubo,0,0,0,NAO
4102087,Mixing_Valve-Thermostatic-Leonard_Valve-Emergency-Eye_Wash (1),Acessórios do tubo,0,0,0,NAO
4102159,Mixing_Valve-Thermostatic-Leonard_Valve-Emergency-TA_Dual_Manifold,Acessórios do tubo,0,0,0,NAO
4102203,Mixing_Valve-Thermostatic-Leonard_Valve-High_Capacity-TM_Series,Acessórios do tubo,0,0,0,NAO
4102258,Mixing_Valve-Thermostatic-Leonard_Valve-Next_Generation,Acessórios do tubo,0,0,0,NAO
4102306,Pipe_Accessory-Outlet_Box-Viega-PEX_Press-2872.6ZL,Acessórios do tubo,0,0,0,NAO
4097528,Registro de Chuveiro - Aquatherm - MEP - Tigre,Acessórios do tubo,0,0,0,NAO
4097551,Registro de Gaveta - Aquatherm - MEP - Tigre,Acessórios do tubo,0,0,0,NAO
4101405,Registro de Gaveta DocolBase - Registros_DOCOLBasicos,Acessórios do tubo,0,0,0,NAO
4101423,Registro de Gaveta e Pressão JET30 - MEP - Tigre,Acessórios do tubo,0,0,0,NAO
4101450,Registro de Pressão baseTec - Registros_DOCOLBasicos,Acessórios do tubo,0,0,0,NAO
4097571,Valvula de Retencao - Aquatherm - MEP - Tigre,Acessórios do tubo,0,0,0,NAO
4097704,Valvula de Retencao - Serie Normal - Esgoto - MEP - Tigre,Acessórios do tubo,0,0,0,NAO
4103596,bico-articulado,Acessórios do tubo,0,0,0,NAO
4103570,bico-coroa,Acessórios do tubo,0,0,0,NAO
4103541,bico-geiser,Acessórios do tubo,0,0,0,NAO
4103517,bico-leque,Acessórios do tubo,0,0,0,NAO
4103768,dreno-10-50,Acessórios do tubo,0,0,0,NAO
4103214,lampada-ultravioleta-95W,Acessórios do tubo,0,0,0,NAO
4103718,válvula-de-ar,Acessórios do tubo,0,0,0,NAO
4490315,Acoplador Formsaver,Acopladores do vergalhão estrutural,0,0,0,NAO
4490193,Acoplador da âncora encabeçada,Acopladores do vergalhão estrutural,0,0,0,NAO
4490255,Acoplador de transição,Acopladores do vergalhão estrutural,0,0,0,NAO
4490213,Acoplador padrão,Acopladores do vergalhão estrutural,0,0,0,NAO
2848792,Acesso - INTERIORES,Anotações genéricas,1,0,1,SIM
2292084,Acesso Pedestres,Anotações genéricas,1,0,1,SIM
2291568,Acesso Social,Anotações genéricas,1,0,1,SIM
2291264,Acesso Social e Veículos,Anotações genéricas,1,0,1,SIM
2291826,Acesso Veículos,Anotações genéricas,1,0,1,SIM
2892600,Antena TV,Anotações genéricas,1,0,1,SIM
2892629,Arandela,Anotações genéricas,1,0,1,SIM
2892894,Arandela com caixa,Anotações genéricas,1,0,1,SIM
2595784,AreasParaPrancha,Anotações genéricas,1,0,1,SIM
2596052,AreasParaPranchaComPermeabilidade,Anotações genéricas,1,0,1,SIM
2892658,Botoeira,Anotações genéricas,1,0,1,SIM
2892687,Campanhia,Anotações genéricas,1,0,1,SIM
3362462,Carimbo Aula,Anotações genéricas,1,0,1,SIM
3363041,Carimbo Edgard Padrao Revit,Anotações genéricas,1,0,1,SIM
4041124,Carimbo Estrutural,Anotações genéricas,0,0,0,NAO
4618150,Dados do Painel,Anotações genéricas,0,0,0,NAO
4623519,ELE_-_Identifica_o_de_Fia_o,Anotações genéricas,0,0,0,NAO
4623498,"Eletroduto que sobe, desce ou passa",Anotações genéricas,0,0,0,NAO
2283065,Esc 1 a 10,Anotações genéricas,1,0,1,SIM
2284116,Esc 1 a 100,Anotações genéricas,1,0,1,SIM
2285133,Esc 1 a 1000,Anotações genéricas,1,0,1,SIM
2283453,Esc 1 a 20,Anotações genéricas,1,0,1,SIM
2284470,Esc 1 a 200,Anotações genéricas,1,0,1,SIM
2283767,Esc 1 a 50,Anotações genéricas,1,0,1,SIM
2284784,Esc 1 a 500,Anotações genéricas,1,0,1,SIM
4623219,Fiação,Anotações genéricas,0,0,0,NAO
4944918,Informações do Projetista,Anotações genéricas,0,0,0,NAO
2893170,Interruptor Duplo,Anotações genéricas,1,0,1,SIM
2892923,Interruptor Paralelo1,Anotações genéricas,1,0,1,SIM
2892774,Interruptor Simples,Anotações genéricas,1,0,1,SIM
4100113,M_Centreline,Anotações genéricas,0,0,0,NAO
3625491,M_Linha central,Anotações genéricas,0,0,0,NAO
4100413,M_North Arrow-2,Anotações genéricas,0,0,0,NAO
4488529,M_Seta norte-1,Anotações genéricas,0,0,0,NAO
3625546,M_Seta norte-2,Anotações genéricas,0,0,0,NAO
1160675,Norte NBR 6492,Anotações genéricas,1,0,1,SIM
2572384,Nível Falso em Corte,Anotações genéricas,1,0,1,SIM
2318804,Nível Falso em Planta Baixa,Anotações genéricas,1,0,1,SIM
3133553,Pontos de Instalações,Anotações genéricas,4,0,4,SIM
2892948,Quadro de distribuição,Anotações genéricas,1,0,1,SIM
2893100,Registro de gaveta,Anotações genéricas,1,0,1,SIM
2893059,Registro de pressão,Anotações genéricas,1,0,1,SIM
2901638,SI_Seta de Piso,Anotações genéricas,1,0,1,SIM
2319944,"Seta Inclinação Telhado ""falso""",Anotações genéricas,1,0,1,SIM
1211877,"Seta de Rampa ""falso""",Anotações genéricas,1,0,1,SIM
4489490,Seta de norte,Anotações genéricas,0,0,0,NAO
3631603,Seta norte-1,Anotações genéricas,0,0,0,NAO
4944766,Seção de Perfil W,Anotações genéricas,0,0,0,NAO
4944668,Sheet-Tag-Dimensão-folha,Anotações genéricas,1,0,1,SIM
2186421,Símbolo - Acesso,Anotações genéricas,1,0,1,SIM
3636679,Símbolo - Norte,Anotações genéricas,0,0,0,NAO
1193422,Símbolo de Corte,Anotações genéricas,1,0,1,SIM
1193624,Símbolo de Elevação,Anotações genéricas,1,0,1,SIM
1212072,Símbolo de Paginação de Piso,Anotações genéricas,1,0,1,SIM
118417,Símbolo de Piso,Anotações genéricas,1,0,1,SIM
2892571,TV a cabo,Anotações genéricas,1,0,1,SIM
2892799,Tomada Alta Simples,Anotações genéricas,1,0,1,SIM
2892828,Tomada Baixa Simples,Anotações genéricas,1,0,1,SIM
2892853,Tomada Média Simples,Anotações genéricas,1,0,1,SIM
2893141,Tomada de piso,Anotações genéricas,1,0,1,SIM
4620882,Unifilar_IDR,Anotações genéricas,0,0,0,NAO
4620865,Unifilar_Interligação entre Quadros,Anotações genéricas,0,0,0,NAO
4620844,Unifilar_Medidor de Entrada Principal,Anotações genéricas,0,0,0,NAO
4620810,Unifilar_QDC,Anotações genéricas,0,0,0,NAO
4620772,Unifilares_Circuitos Reserva,Anotações genéricas,0,0,0,NAO
2892716,interfone,Anotações genéricas,1,0,1,SIM
2500030,seta de piso,Anotações genéricas,1,0,1,SIM
4489690,Balaústre - Quadrado,Balaústres,0,0,0,NAO
3634743,Baluster - Domestic,Balaústres,0,0,0,NAO
1766163,Baluster - Rectangular,Balaústres,1,0,1,SIM
3634362,Baluster - Round1,Balaústres,0,0,0,NAO
3633979,Baluster-Panel-BLADE-Wire Mesh,Balaústres,0,0,0,NAO
3634061,Baluster-Picket Mount-VIVA-BLADE,Balaústres,0,0,0,NAO
3634045,Baluster-Picket-VIVA-BLADE-Round,Balaústres,0,0,0,NAO
3634021,Baluster-Post-VIVA-BLADE,Balaústres,0,0,0,NAO
3634794,Bracket - Wall Mounted Handrail,Balaústres,0,0,0,NAO
1766176,Glass Panel w fixings,Balaústres,1,0,1,SIM
3625947,M_Balaústre - Aço plano de pé,Balaústres,0,0,0,NAO
2207272,M_Balaústre - Quadrado,Balaústres,1,0,1,SIM
3635226,M_Balaústre - Quadrado1,Balaústres,0,0,0,NAO
3625740,M_Balaústre - Redondo,Balaústres,0,0,0,NAO
3635792,M_Baluster - Square,Balaústres,0,0,0,NAO
3625960,M_Painel - Vidro,Balaústres,0,0,0,NAO
