id,filter_name
4939,CORTES BÁSICO
551875,CORTES CONTRATO
551873,CORTES DECORADO
4938,CORTES DRAFT
439048,CORTES EP ou AP
4940,CORTES EXECUTIVO
4937,CORTES LEGAL
439049,CORTES VENDAS
439145,CORTES VIABILIDADE
299312,DIVISÓRIAS
4955,DRY WALL
121803,HATCHES LEGAL
4933,LAJES COM FILLS
81591,LAJES ESTRUTURAIS
91827,LAJES NÃO ESTRUTURAIS
299113,NÃO DIVISÓRIAS
298554,NÃO DRY WALL
438768,NÃO FÔRMAS
4936,NÃO PLANOS DE TRANSPARÊNCIA
4943,NÍVEIS AUXILIARES
4942,NÍVEL ZERO
508217,PAREDES COM AZULEJO
508285,PAREDES COM AZULEJO 2 LADOS
4934,PAREDES CORTINA
457408,PAREDES ESTRUTURAIS
4959,PAREDES EXTERNAS
4960,PAREDES INTERNAS
496470,PAREDES NÃO ESTRUTURAIS
457465,PAREDES NÃO NÚCLEO/SHAFT
456387,PAREDES NÚCLEO/SHAFT
4935,PLANOS DE TRANSPARÊNCIA
133198,SPECIALTY LEGAL
4941,TELAS
4944,VAGAS PRESAS
2908019,_A Deslocar
2908021,_Deslocado
2908023,_Divisória_Euxatex
2908022,_Divisória_Vidro
2908025,_Novo Mobiliário
2908020,_Remover
496846,qnt TOPOGRAFIA
