id,material_name
4626710,",soquete"
1320760,- Porcelanato eliane 60x60 blocos
2905157,-basemesaescritorio
2905156,-topomesaescritorio
1326402,.Alumínio
2199996,.AÇO ESCOVADO
1914228,.Basalto Polido
1326399,.Concreto
4626678,.Concreto Poste
2576776,.Cromo
2899166,.FOLHA
2199609,.MADEIRA BORDA
1326400,.Madeira
2358278,.Madeira Alizar
2358277,.Madeira Porta
3005479,.Madeira maciça envernizada
3005475,.Metal pintado preto
1326403,.Metal preto
2576777,.Mármore Soleira
2207289,.Mármore Verde Ubatuba
3435166,.Mármore preto
2127552,.PACG_Concreto_Laje
2127553,.PACG_Concreto_Pilar
2899167,.POLIURETANO
2899111,.Pintura acrílica externa
2202842,.Pintura latext branca interna
3005478,.Pinus com pintura verdade desgastada
2358279,.Puxador
3353920,.RM_CAMA_00002_01
3353919,.RM_CAMA_00002_02
3353922,.RM_CAMA_00002_03
3353921,.RM_CAMA_00002_04
2202988,.Telha cerâmica
2203037,.Telha fibrocimento
1326404,.Vidro transparente
2509095,.Vidro transparente maxim-ar
2375397,.Vidro transparente porta
1326401,.Vidro verde
3000678,.aço inox
2965211,.aço inox 2
2965212,.concreto usinado
2965210,.concreto vigota e ta
2358282,.granito soleira
3021184,.madeira 2
3031906,.metal escuro acetinado
2965213,.pintura cinza 2
3021190,.tecido linho 2
3029324,.vidro
3029322,.vidro preto
3532291,1 Aluminio Branco
3343456,1 Madeira
3343455,1 couro preto
3564249,1 metal
3532289,1 vidro
3637137,1. Sofa Upholstery
3637136,2. Frame
3365549,4D-GRANITO BRANCO
3365548,4D-LAJE DE CONCRETO
3365547,4D-PAREDE 15cm
1999599,@ concreto aparente piso
1999646,@ madeira laminada piso
2908444,@arvoreVerde
2927796,@baseMadeiraArmario
3005117,@couroPreto
2926039,@materialBase
2792586,@mdf Branco
2955942,@nichoBorda
2955943,@nichoFundo
2929552,@portaCavaMaterialPorta
2938582,@portaPuxador
2929558,@puxador
3293474,A prova de umidade
4104041,ABS Branco
4104042,ABS Cinza
4503,ACABAMENTO EM AZULEJO 60 x 30 cm BRANCO
3515,ACABAMENTO EM GRAFIATO BEGE
3517,ACABAMENTO EM GRAFIATO BRANCO
4578,ACABAMENTO EM PASTILHA 5 X 5 cm AZUL MARINHO
3307,ACABAMENTO EM PASTILHA 5 X 5 cm MISCELÂNEA AZUL
455385,ACABAMENTO EM PASTILHA 5 X 5 cm MISCELÂNEA CINZA
455386,ACABAMENTO EM PASTILHA 5 X 5 cm MISCELÂNEA MARROM
3568,ACABAMENTO EM PEDRA SÃO TOMÉ FILETADA CLARA
3569,ACABAMENTO EM PEDRA SÃO TOMÉ FILETADA VINHO
426106,ACABAMENTO EM PETIT-PAVET BRANCO
3229,ACABAMENTO EM PINTURA AMARELA
3231,ACABAMENTO EM PINTURA AZUL
3245,ACABAMENTO EM PINTURA BEGE
3159,ACABAMENTO EM PINTURA BRANCA
2045708,ACABAMENTO EM PINTURA BRANCA 2
3233,ACABAMENTO EM PINTURA CINZA
3258,ACABAMENTO EM PINTURA CINZA CLARO
3246,ACABAMENTO EM PINTURA CREME
3232,ACABAMENTO EM PINTURA LARANJA
3235,ACABAMENTO EM PINTURA MARROM
3249,ACABAMENTO EM PINTURA PRETA
3236,ACABAMENTO EM PINTURA ROXA
3230,ACABAMENTO EM PINTURA VERDE
3234,ACABAMENTO EM PINTURA VERMELHA
2645542,ACM Padrão
3542,ALUMÍNIO
2331,ALUMÍNIO ANODIZADO
3496,ALUMÍNIO ANODIZADO AZUL
3264,ALUMÍNIO ANODIZADO BRONZE
3498,ALUMÍNIO ANODIZADO CINZA ESCURO
3263,ALUMÍNIO ANODIZADO PRETO
3497,ALUMÍNIO ANODIZADO VERMELHO
4027,ALUMÍNIO COM PINTURA ELETROSTÁTICA BRANCA
2363113,ARCAT - Glass - Laminated - Clear
2324,AREIA
3237,ARGAMASSA COLANTE
4375,ARGILA EXPANDIDA
4946332,ASTM - A36
4946336,ASTM - A563 Grau A
2607889,Aberturas de ar
4429037,Acabamento - Branco
1819776,Acciaio
1387141,Acciaio Inox
4626715,Acciaio inox AISI 202
4626716,"Acciaio, Placcato di cromo"
3637027,Acero inoxidable
4103955,"Acetal Resin, Black"
3520945,Acrylic
4626756,Acrylic - Prudential Lighting - Prismatic
1388204,Acrílico
1484720,Acrílico Preto
1422723,Acrílico Transparente
3446200,Acuity Black Plastic
3446202,Acuity Carrier- Graphite
1427674,Acuity Caster Center
3446198,Acuity Caster Frame
3446199,Acuity Caster Wheel
3446201,Acuity Finish- Polished Aluminum
3446203,Acuity Mesh- Dusk
3446204,Acuity Upholstery Leather- Black
4104029,Adesivo Azul - Sodramar
4104032,Adesivo Vermelho - Sodramar
1452015,Algodão
3446179,Alluminio
3533110,Aluminio
4626684,Aluminio plano
3532285,Aluminium
1468058,Aluminium Raw
3637209,Aluminium_ALUPROF_RAL7016_AnthraciteGrey
2410642,Aluminum
2402167,Aluminum - Milgard - Bronze Anodized
2402171,Aluminum - Milgard - Clear Anodized
3302526,Aluminum Sill
2420734,Aluminum alloy-AIMgS(EN AW 6060)
2420736,Aluminum alloy-Dark Grey AIMgS(EN AW 6060)
1427671,Alumium
3550086,Alumín.
3499842,Alumín. 1
1397173,Alumínio
2574137,Alumínio (2)
2462133,Alumínio - Aspecto madeira
2480091,Alumínio - Aspecto mogno
2459019,Alumínio - Pintura eletrostática branca
2654316,Alumínio 3004-H38
1601821,Alumínio Amarelo
3321618,Alumínio Anodizado Bronze
1473585,Alumínio Branco
4104038,Alumínio Branco - Sodramar
1560900,Alumínio Espelhado
2956874,Alumínio Semipolido
1375968,Alumínio bege
4626661,Alumínio com Pintura Eletrostática Branca
1397171,Alumínio preto
1319074,Alumínio-6061-AHC
3637226,Alvenaria exposta
1384753,Amarelo
1325031,Amendoeira
4626621,Apricot RAL 3012
4626644,Argon
4103949,"Asphalt, Bitumen"
4626748,Assemblyroom_Fabric_Wire_TrafficYellow
4626747,Assemblyroom_Glass
4626744,Assemblyroom_LightSource
4626745,Assemblyroom_Metal_Aluminium_SignalWhite
4626746,Assemblyroom_Metal_Aluminium_TrafficYellow
1384755,Azul
4429038,"Azul, Sólido"
2330,AÇO
4249,AÇO COM PINTURA A PÓ NA COR BRANCA
4250,AÇO COM PINTURA A PÓ NA COR PRETA
4079,AÇO COM PINTURA METÁLICA PRETA ACETINADA
4078,AÇO COM PINTURA METÁLICA PRETA VITRIFICADA
1422603,AÇO COM PINTURA METÁLICA cinca ACETINADA
3272,AÇO ESCOVADO
4327,AÇO GALVANIZADO CORTA-FOGO P120 COM PINTURA A PÓ BRANCA
4325,AÇO GALVANIZADO CORTA-FOGO P60 COM PINTURA A PÓ BRANCA
4326,AÇO GALVANIZADO CORTA-FOGO P90 COM PINTURA A PÓ BRANCA
3164,AÇO INOXIDÁVEL
3280,AÇO PATINÁVEL
569147,Aço
3636993,Aço ASTM A36
1572772,Aço Branco
1490901,Aço Corten
4626605,Aço Galvanizado Eletrica
1388205,Aço Inox
2467734,Aço Inox 304
1586503,Aço Inox Branco
1563170,Aço Inox Cinza
4104039,Aço Inox Escovado - Sodramar
4104031,Aço Inox Polido - Sodramar
1537187,Aço Inox Preto
1537194,Aço Inox Satin
1551571,Aço Inoxidável
4104022,Aço Inoxidável 304
1460905,Aço Pintado em Branco
1513344,Aço Preto
2654312,Aço cromado
1422709,Aço escovado
4946340,Aço galvalume
1422580,Aço galvanizado
1959853,"Aço inoxidável, polido"
1370243,Aço tratado branco
1370241,Aço tratado preto
1370239,Aço tratado vermelho
4491599,"Aço, 45-345"
3636978,"Aço, Cromo polido"
2015789,"Aço, Polido"
3527101,"Aço, acabamento pintado, preto, fosco"
3637031,BED FABRIC
3637032,BED FEET
3637034,BEDDING
3217,BLOCO CERÂMICO (E = 14 cm)
3219,BLOCO CERÂMICO (E = 19 cm)
3218,BLOCO CERÂMICO (E = 24 cm)
3216,BLOCO CERÂMICO (E = 9 cm)
3972,BLOCO DE CONCRETO (E = 14 cm)
3973,BLOCO DE CONCRETO (E = 19 cm)
4001,BLOCO DE CONCRETO (E = 39 cm)
3965,BLOCO DE CONCRETO (E = 9 cm)
3298701,BMCD2AR3\Bitmap Textures\Wood\WOOD_47\Normal
3637045,BMCD2AR3\Solid Materials \Flat Colors\Smooth\White
3637046,BMCD2AR3\Solid Materials \Matte\Textured\Black
3637047,"BMCD2AR3\Solid Materials \Matte\Textured\Brown, dark"
3298702,"BMCD2AR3\Solid Materials \Metals\Brass, polished 2"
3308,BORRACHA BRANCA
3513,BORRACHA PRETA
3162,BRONZE
4626650,Base Isolante
4626614,Base para Quadro
3321629,Bed-Wood
3637020,Bedding Cloth
3446178,Bianco
3446181,Bianco Mouse
3005489,Birch
3637043,Black
4626619,Black RAL 9005
3519291,Black panel
3342685,Bois - Bouleau
2628838,Borda grelha
569145,Borracha
3637147,Bracket
1735244,Branca
1459734,Branco
1525442,Branco Gelo
4103948,"Brass, Soft Yellow, Welded"
4104005,Bronze - Leonard Valve Company
3005488,"Bronze, Architectural"
2850019,Brown
3519292,Buttons
3636997,Bétula
4626642,CABLE
3354671,CAMA SOLTEIRO 01_01
3354672,CAMA SOLTEIRO 01_02
3354670,CAMA SOLTEIRO 01_03
2341,CAMADA DE AREIA / CIMENTO
2327,CANTARIA
2296,CAVIDADE PREENCHIDA
4098,"CHAPA DE COMPENSADO (E = 1,25 mm)"
4626613,CMM - Escuro
4626611,CMM - Módulos Padrão Copel
4626612,CMM - Transparente
2336,COBRE MARROM
3262,COBRE VERDE
2325,CONCRETO IN LOCO
2339,CONCRETO LEVE IN LOCO
3155,CONCRETO PRÉ-MOLDADO
4522,CONTRAPISO
772658,CORPO
3949,COURO AZUL
3332,COURO BRANCO
3333,COURO MARROM
3331,COURO PRETO
3324864,CPVC - Aquatherm
4103960,"CPVC - Aquatherm, Areia"
4103959,"CPVC - Aquatherm, Branco"
4103961,"CPVC - Aquatherm, Cinza"
4103962,"CPVC - Aquatherm, Cromado"
2465,CROMO
3311845,Cabinets
3311846,Cabinets - Handles
3637054,Cabo de Madeira
2198877,Caibro 5 x 4
4103953,Caixa D'Água
3620877,Caixilho
2205943,Calhas
554126,Carbon Steel
3184141,Cargas analíticas elétricas
3311281,Cascata
4491614,Cast Iron
4103941,Cast_Iron-Safeguard-Kohler-0-White
3636977,Cerejeira
2127555,Cerâmica
1587552,Cerâmica_Branco
1402073,Chapa metálica
1402101,Chapa metálica branca
3366490,Chrome
4104007,Chrome - Leonard Valve Company
4626734,Chrome Plating
4104036,Cinza
4626617,Cinza 2
1523792,Cinza Acetinado
2850022,Cinza Detalhe
1491968,Cinza Pó-Revestido
4104025,Cinza escuro
2607885,Clarabóias operáveis
4104002,Clearance Areas
3637210,Clearance Zone
703483,Cobre
4104015,Cold Lever
4104011,Color - Viega - Cold Lever
4104012,Color - Viega - Hot Lever
2349049,Concrete
4491615,Concrete - Cast In Situ 3
2349037,Concrete - Cast-in-Place
1761825,Concrete - Cast-in-Place Concrete
1127062,Concrete - Precast Concrete
4491610,Concrete - Precast Concrete - 35 MPa
3637186,"Concrete, Broom Finish"
571243,"Concrete, Precast"
571244,Concreto
2207037,Concreto - Areia/cimento/agregado
4946334,Concreto - Concreto moldado no local - 35 MPa
4491618,Concreto - Concreto pré-moldado - 35 MPa
3636991,Concreto - Moldado in loco
4491601,Concreto - Moldado in loco - Cinza
3370138,Concreto Local
3295667,Concreto cinza moldado no local
4042916,"Concreto, Moldado no local - Cinza"
1959846,"Concreto, pré-moldado"
4491604,Condição do limite – Deslizante
4491607,Condição do limite – Eixo X
4491605,Condição do limite – Eixo Y
4491606,Condição do limite – Eixo Z
4491603,Condição do limite – Fixado
4491602,Condição do limite – Fixo
1411821,Contemporary Office Desk - Plastic Inner
1411819,Contemporary Office Desk - Plastic Outer
2492790,Contra Piso
554127,Copper
4946344,Cor padrão - Amarelo Placa
