"action","reason","id","family_name","category","symbols","used_symbols_detected","review_candidate"
"MANTER","Familia base ou potencialmente util no template","4100231","M_Fire Damper - Rectangular - Simple","Acessórios de duto","0","0","NAO"
"REVISAR_COM_USUARIO","Pode ser util, mas precisa escolher kit padrao antes de manter tudo","4101424","Adaptador Jet 30 - MEP - Tigre","Acessórios do tubo","4","0","SIM"
"REVISAR_COM_USUARIO","Pode ser util, mas precisa escolher kit padrao antes de manter tudo","3306234","Adaptador com Anel - Agua Fria_Roscavel - MEP - Tigre","Acessórios do tubo","1","0","SIM"
"REVISAR_DUPLICADA","Nome indica duplicidade importada com sufixo 1","4104383","Adaptador com Anel - Agua Fria_Roscavel - MEP - Tigre1","Acessórios do tubo","1","0","SIM"
"REVISAR_COM_USUARIO","Pode ser util, mas precisa escolher kit padrao antes de manter tudo","3307439","Adaptador com Anel - Agua Fria_Soldavel - MEP - Tigre","Acessórios do tubo","1","0","SIM"
"MANTER","Familia base ou potencialmente util no template","4097722","Adaptador com Anel - Agua Fria_Soldavel - MEP - Tigre.","Acessórios do tubo","0","0","NAO"
"REVISAR_DUPLICADA","Nome indica duplicidade importada com sufixo 1","4104387","Adaptador com Anel - Agua Fria_Soldavel - MEP - Tigre1","Acessórios do tubo","1","0","SIM"
"REVISAR_COM_USUARIO","Pode ser util, mas precisa escolher kit padrao antes de manter tudo","3308518","Adaptador com Registro - Agua Fria_Soldavel - MEP - Tigre","Acessórios do tubo","1","0","SIM"
"MANTER","Familia base ou potencialmente util no template","4097799","Adaptador com Registro - Agua Fria_Soldavel - MEP - Tigre.","Acessórios do tubo","0","0","NAO"
"REVISAR_DUPLICADA","Nome indica duplicidade importada com sufixo 1","4104385","Adaptador com Registro - Agua Fria_Soldavel - MEP - Tigre1","Acessórios do tubo","1","0","SIM"
"MANTER","Familia base ou potencialmente util no template","4102982","GERADOR DE CLORO GS 42 - SODRAMAR","Acessórios do tubo","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","3630735","Grelha Hemisfer Flexivel - Aquapluv - MEP - Tigre","Acessórios do tubo","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4099181","Hidrometro-simples com conectores","Acessórios do tubo","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4102123","Mixing_Valve-Thermostatic-Leonard_Valve-Emergency-Eye_Wash","Acessórios do tubo","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4102087","Mixing_Valve-Thermostatic-Leonard_Valve-Emergency-Eye_Wash (1)","Acessórios do tubo","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4102159","Mixing_Valve-Thermostatic-Leonard_Valve-Emergency-TA_Dual_Manifold","Acessórios do tubo","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4102203","Mixing_Valve-Thermostatic-Leonard_Valve-High_Capacity-TM_Series","Acessórios do tubo","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4102258","Mixing_Valve-Thermostatic-Leonard_Valve-Next_Generation","Acessórios do tubo","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4102306","Pipe_Accessory-Outlet_Box-Viega-PEX_Press-2872.6ZL","Acessórios do tubo","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4097528","Registro de Chuveiro - Aquatherm - MEP - Tigre","Acessórios do tubo","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4097551","Registro de Gaveta - Aquatherm - MEP - Tigre","Acessórios do tubo","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4101405","Registro de Gaveta DocolBase - Registros_DOCOLBasicos","Acessórios do tubo","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4101423","Registro de Gaveta e Pressão JET30 - MEP - Tigre","Acessórios do tubo","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4101450","Registro de Pressão baseTec - Registros_DOCOLBasicos","Acessórios do tubo","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4097571","Valvula de Retencao - Aquatherm - MEP - Tigre","Acessórios do tubo","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4097704","Valvula de Retencao - Serie Normal - Esgoto - MEP - Tigre","Acessórios do tubo","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4103596","bico-articulado","Acessórios do tubo","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4103570","bico-coroa","Acessórios do tubo","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4103541","bico-geiser","Acessórios do tubo","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4103517","bico-leque","Acessórios do tubo","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4103768","dreno-10-50","Acessórios do tubo","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4103214","lampada-ultravioleta-95W","Acessórios do tubo","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4103718","válvula-de-ar","Acessórios do tubo","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4490315","Acoplador Formsaver","Acopladores do vergalhão estrutural","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4490193","Acoplador da âncora encabeçada","Acopladores do vergalhão estrutural","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4490255","Acoplador de transição","Acopladores do vergalhão estrutural","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4490213","Acoplador padrão","Acopladores do vergalhão estrutural","0","0","NAO"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","2848792","Acesso - INTERIORES","Anotações genéricas","1","0","SIM"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","2292084","Acesso Pedestres","Anotações genéricas","1","0","SIM"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","2291568","Acesso Social","Anotações genéricas","1","0","SIM"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","2291264","Acesso Social e Veículos","Anotações genéricas","1","0","SIM"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","2291826","Acesso Veículos","Anotações genéricas","1","0","SIM"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","2892600","Antena TV","Anotações genéricas","1","0","SIM"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","2892629","Arandela","Anotações genéricas","1","0","SIM"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","2892894","Arandela com caixa","Anotações genéricas","1","0","SIM"
