id,view_name,view_type,is_template
72399,PLANTA BAIXA 2 PAVIMENTO,CeilingPlan,NAO
72191,TERREO,CeilingPlan,NAO
95161,ELEVACAO DIREITA,Elevation,NAO
2922196,ELEVACAO DIREITA ANTEPROJETO,Elevation,NAO
95141,ELEVACAO ESQUERDA,Elevation,NAO
2922186,ELEVACAO ESQUERDA ANTEPROJETO,Elevation,NAO
95117,ELEVACAO FRONTAL,Elevation,NAO
2922166,ELEVACAO FRONTAL ANTEPROJETO,Elevation,NAO
95151,ELEVACAO POSTERIOR,Elevation,NAO
2922176,ELEVACAO POSTERIOR ANTEPROJETO,Elevation,NAO
2836541,2 PAVIMENTO - INTERIORES,FloorPlan,NAO
2907347,2 PAVIMENTO ANTEPROJETO,FloorPlan,NAO
2835328,2 PAVIMENTO CONCEPCAO,FloorPlan,NAO
1801896,2 PAVIMENTO PLANTA HUMANIZADA,FloorPlan,NAO
2310038,CALCULO DE AREAS 2 PAVIMENTO,FloorPlan,NAO
2310028,CALCULO DE AREAS TERREO,FloorPlan,NAO
72389,PLANTA BAIXA 2 PAVIMENTO,FloorPlan,NAO
1801876,PLANTA BAIXA TERREO,FloorPlan,NAO
2792064,REFORMA EXISTENTE - PLANTA BAIXA TERREO,FloorPlan,NAO
2792074,REFORMA PROJETO - PLANTA BAIXA TERREO,FloorPlan,NAO
2792084,REFORMA PROPOSTA FINAL PLANTA BAIXA TERREO,FloorPlan,NAO
2310809,SITUACAO,FloorPlan,NAO
2836525,TERREO - INTERIORES,FloorPlan,NAO
3134009,TERREO - PONTOS ELETRICOS,FloorPlan,NAO
3133423,TERREO - PONTOS HIDRAULICOS,FloorPlan,NAO
2907319,TERREO ANTEPROJETO,FloorPlan,NAO
72181,TERREO CONCEPCAO,FloorPlan,NAO
1801886,TERREO PLANTA HUMANIZADA,FloorPlan,NAO
988,Vista do projeto,ProjectBrowser,NAO
2341736,TABELA DE AMBIENTES,Schedule,NAO
2342313,TABELA DE EQ ESPECIAIS,Schedule,NAO
2340845,TABELA DE FORROS,Schedule,NAO
2282789,TABELA DE JANELAS,Schedule,NAO
2343003,TABELA DE LUMINARIAS,Schedule,NAO
2342297,TABELA DE P HIDROS,Schedule,NAO
2340588,TABELA DE PAREDES,Schedule,NAO
2341346,TABELA DE PILARES,Schedule,NAO
2340730,TABELA DE PISOS,Schedule,NAO
2283049,TABELA DE PORTAS,Schedule,NAO
2342486,TABELA DE TELHADOS,Schedule,NAO
2341675,TABELA DE VIGAS,Schedule,NAO
2625503,TABELA MAD DECK,Schedule,NAO
2625492,TABELA MAD TELHADO,Schedule,NAO
2500848,TERRAPLENAGEM,Schedule,NAO
1734,Navegador do sistema,SystemBrowser,NAO
2386001,{3D},ThreeD,NAO
4265,Site Section,Elevation,SIM
4267,Structural Framing Elevation,Elevation,SIM
4268,Structural Section,Elevation,SIM
3625124,EDGARD - ARQ-EST-ELE-HID,FloorPlan,SIM
3625116,EDGARD - ARQUITETURA,FloorPlan,SIM
3625120,EDGARD - ELETRICA,FloorPlan,SIM
3625118,EDGARD - ESTRUTURA,FloorPlan,SIM
3625122,EDGARD - HIDRAULICA,FloorPlan,SIM
3625112,EDGARD - PLANTA BAIXA PADRAO,FloorPlan,SIM
3625114,EDGARD - PLANTA HUMANIZADA,FloorPlan,SIM
3133421,EXECUTIVO - PLANTA BAIXA,FloorPlan,SIM
3135901,PLANTA DE PONTOS HIDRAULICOS,FloorPlan,SIM
3135899,PLANTA DE POTOS ELETRICOS,FloorPlan,SIM
4284,phase COMPLETE plan,FloorPlan,SIM
4285,phase NEW plan,FloorPlan,SIM
4286,phase PREV DEMO plan,FloorPlan,SIM
4311,phase SHOW ALL plan,FloorPlan,SIM
165795,Tabelas,Schedule,SIM
1236790,Phases,ThreeD,SIM
4288,phase - COMPLETE,ThreeD,SIM
4282,phase - NEW,ThreeD,SIM
4283,phase - PREVIOUS DEMO,ThreeD,SIM
4312,phase - SHOW ALL,ThreeD,SIM
